Name,Slug,Collection ID,Item ID,Created On,Updated On,Published On,Google Drive File ID
"Efrén on communicating with Mayeli - March 24, 2018",efren-communicating-mayeli,62d795bea42cb27591ae4955,62e1c6f9170d8b197bdd61b2,Wed Jul 27 2022 23:15:05 GMT+0000 (Coordinated Universal Time),Fri Oct 14 2022 00:28:53 GMT+0000 (Coordinated Universal Time),Fri Oct 14 2022 00:30:59 GMT+0000 (Coordinated Universal Time),1S6Z8IPxdVkr9uil98Ch8ug555ZfhEfgH
"Efrén on food in prison - June 22, 2016",efren-food-prison,62d795bea42cb27591ae4955,62e1c6f9a865b74978eadc2f,Wed Jul 27 2022 23:15:05 GMT+0000 (Coordinated Universal Time),Fri Oct 14 2022 00:28:58 GMT+0000 (Coordinated Universal Time),Fri Oct 14 2022 00:30:59 GMT+0000 (Coordinated Universal Time),1S6Z8IPxdVkr9uil98Ch8ug555ZfhEfgH
"Efrén on struggle - December 7, 2015",efren-struggle,62d795bea42cb27591ae4955,62e1c6f9b3c7984ceb83cd41,Wed Jul 27 2022 23:15:05 GMT+0000 (Coordinated Universal Time),Fri Oct 14 2022 00:29:07 GMT+0000 (Coordinated Universal Time),Fri Oct 14 2022 00:30:59 GMT+0000 (Coordinated Universal Time),1FPOR51W71KJWqOlwBglmjunyy0iPn1NY
"Efrén speaks about Transfers - March 24, 2018",efren-transfers,62d795bea42cb27591ae4955,62e1c6f9cf3b7c406eeb5fa1,Wed Jul 27 2022 23:15:05 GMT+0000 (Coordinated Universal Time),Fri Oct 14 2022 00:29:17 GMT+0000 (Coordinated Universal Time),Fri Oct 14 2022 00:30:59 GMT+0000 (Coordinated Universal Time),1s2b74j6rSAbKt-7TOdANoPa-PnKtjoZO
"Efrén on rehabilitation in prison - June 22, 2016",rehabilitation-prison,62d795bea42cb27591ae4955,62e1c6f9129bf06f6d2309a7,Wed Jul 27 2022 23:15:05 GMT+0000 (Coordinated Universal Time),Fri Oct 14 2022 00:29:02 GMT+0000 (Coordinated Universal Time),Fri Oct 14 2022 00:30:59 GMT+0000 (Coordinated Universal Time),1IF1N3xw_9o2yuB444X4BhHwFuPlQU205
